index,type,position,t_enter_SA1,t_enter_PW,t_enter_SA3,t_exit_system,t_SA1_basic,t_SA1_add,t_PW_basic,t_SA2_add,t_SA3_basic,t_SA3_add,total_time
0,PA2,PASSED,0.2,3.2,6.1,12.2,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
1,PA1,PASSED,0.4,3.8,19.3,25.4,3.329192546583851,0.0,15.499999999999998,0.0,6.054490101346278,0.0,24.883682647930126
2,PA2,PASSED,0.4,3.4,6.3,12.4,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
3,PA2,PASSED,0.7,3.7,6.6,12.7,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
4,PA1,PASSED,0.9,4.3,19.8,25.9,3.329192546583851,0.0,15.499999999999998,0.0,6.097632819212057,0.0,24.926825365795906
5,PA2,PASSED,0.9,3.9,6.8,12.9,2.9130434782608696,0.0,2.826086956521739,0.0,6.027950310559007,0.0,11.767080745341616
6,PA2,PASSED,1.2,4.2,7.1,13.2,2.9130434782608696,0.0,2.8107115593584364,0.0,6.027950310559007,0.0,11.751705348178312
7,PA1,PASSED,1.4,4.8,20.3,26.5,3.329192546583851,0.0,15.499999999999998,0.0,6.144180860580524,0.0,24.97337340716437
8,PA2,PASSED,1.4,4.4,7.3,13.4,2.9130434782608696,0.0,2.807838451016892,0.0,6.027950310559007,0.0,11.74883223983677
9,PA2,PASSED,1.7,4.7,7.6,13.7,2.9130434782608696,0.0,2.820700016951719,0.0,6.027950310559007,0.0,11.761693805771596
10,PA1,PASSED,1.9,5.3,20.8,27.0,3.329192546583851,0.0,15.499999999999998,0.0,6.194297626422116,0.0,25.023490173005964
11,PA2,PASSED,1.9,4.9,7.8,13.9,2.9130434782608696,0.0,2.848623682449669,0.0,6.025440593583726,0.0,11.787107754294265
12,PA2,PASSED,2.2,5.2,8.1,14.2,2.9130434782608696,0.0,2.8913690758422628,0.0,6.017246687100602,0.0,11.821659241203735
13,PA1,PASSED,2.4,5.8,21.3,27.6,3.329192546583851,0.0,15.499999999999998,0.0,6.248164802834523,0.0,25.07735734941837
14,PA2,PASSED,2.4,5.4,8.4,14.5,2.9130434782608696,0.0,2.949076434479606,0.0,6.01243794835881,0.0,11.874557861099285
15,PA2,PASSED,2.7,5.7,8.8,14.9,2.9130434782608696,0.0,3.0222411257771196,0.0,6.01087715681968,0.0,11.946161760857668
16,PA1,PASSED,2.9,6.3,21.8,28.2,3.329192546583851,0.0,15.499999999999998,0.0,6.30598363874442,0.0,25.13517618532827
17,PA2,PASSED,2.9,5.9,9.1,15.2,2.9130434782608696,0.0,3.111708862692683,0.0,6.01245341260605,0.0,12.037205753559602
18,PA2,PASSED,3.2,6.2,9.4,15.5,2.9130434782608696,0.0,3.111708862692683,0.0,6.017079381605948,0.0,12.0418317225595
19,PA1,PASSED,3.4,6.8,22.3,28.7,3.329192546583851,0.0,15.499999999999998,0.0,6.367976390989625,0.0,25.197168937573473
