T,D_SA1,D_PW1,D_PW2,D_SA3,D_pass,K_PW2,K_SA3,queue_PW1
0.0,0,0,0,0,0,0.0,0.0,0
0.1,0,0,0,0,0,0.0,0.0,0
0.2,1,0,0,0,0,0.0,0.0,0
0.3,1,0,0,0,0,0.0,0.0,0
0.4,3,0,0,0,0,0.0,0.0,0
0.5,3,0,0,0,0,0.0,0.0,0
0.6,3,0,0,0,0,0.0,0.0,0
0.7,4,0,0,0,0,0.0,0.0,0
0.8,4,0,0,0,0,0.0,0.0,0
0.9,6,0,0,0,0,0.0,0.0,0
1.0,6,0,0,0,0,0.0,0.0,0
1.1,6,0,0,0,0,0.0,0.0,0
1.2,7,0,0,0,0,0.0,0.0,0
1.3,7,0,0,0,0,0.0,0.0,0
1.4,9,0,0,0,0,0.0,0.0,0
1.5,9,0,0,0,0,0.0,0.0,0
1.6,9,0,0,0,0,0.0,0.0,0
1.7,10,0,0,0,0,0.0,0.0,0
1.8,10,0,0,0,0,0.0,0.0,0
1.9,12,0,0,0,0,0.0,0.0,0
2.0,12,0,0,0,0,0.0,0.0,0
2.1,12,0,0,0,0,0.0,0.0,0
2.2,13,0,0,0,0,0.0,0.0,0
2.3,13,0,0,0,0,0.0,0.0,0
2.4,15,0,0,0,0,0.0,0.0,0
2.5,15,0,0,0,0,0.0,0.0,0
2.6,15,0,0,0,0,0.0,0.0,0
2.7,16,0,0,0,0,0.0,0.0,0
2.8,16,0,0,0,0,0.0,0.0,0
2.9,18,0,0,0,0,0.0,0.0,0
3.0,18,0,0,0,0,0.0,0.0,0
3.1,18,0,0,0,0,0.0,0.0,0
3.2,19,0,0,0,0,0.0,0.0,0
3.3,19,0,0,0,0,0.0,0.0,0
3.4,20,0,1,0,0,0.09803921568627452,0.0,0
3.5,20,0,1,0,0,0.09803921568627452,0.0,0
3.6,19,1,1,0,0,0.09803921568627452,0.0,0
3.7,20,1,1,0,0,0.09803921568627452,0.0,0
3.8,19,2,1,0,0,0.09803921568627452,0.0,0
3.9,20,2,2,0,0,0.19607843137254904,0.0,0
4.0,20,2,2,0,0,0.19607843137254904,0.0,0
4.1,19,3,2,0,0,0.19607843137254904,0.0,0
4.2,20,3,2,0,0,0.19607843137254904,0.0,0
4.3,19,4,2,0,0,0.19607843137254904,0.0,0
4.4,20,4,3,0,0,0.29411764705882354,0.0,0
4.5,20,4,3,0,0,0.29411764705882354,0.0,0
4.6,19,5,3,0,0,0.29411764705882354,0.0,0
4.7,20,5,3,0,0,0.29411764705882354,0.0,0
4.8,19,6,3,0,0,0.29411764705882354,0.0,0
4.9,20,6,4,0,0,0.3921568627450981,0.0,0
5.0,20,6,4,0,0,0.3921568627450981,0.0,0
5.1,19,7,4,0,0,0.3921568627450981,0.0,0
5.2,20,7,4,0,0,0.3921568627450981,0.0,0
5.3,19,8,4,0,0,0.3921568627450981,0.0,0
5.4,20,8,5,0,0,0.4901960784313726,0.0,0
5.5,20,8,5,0,0,0.4901960784313726,0.0,0
5.6,19,9,5,0,0,0.4901960784313726,0.0,0
5.7,20,9,5,0,0,0.4901960784313726,0.0,0
5.8,19,10,5,0,0,0.4901960784313726,0.0,0
5.9,20,10,6,0,0,0.5882352941176471,0.0,0
6.0,20,10,6,0,0,0.5882352941176471,0.0,0
6.1,19,11,6,0,0,0.5882352941176471,0.0,0
6.2,20,11,6,0,0,0.5882352941176471,0.0,0
6.3,19,12,5,1,0,0.4901960784313726,0.04587155963302752,0
6.4,20,12,6,1,0,0.5882352941176471,0.04587155963302752,0
6.5,20,12,6,1,0,0.5882352941176471,0.04587155963302752,0
6.6,19,13,6,1,0,0.5882352941176471,0.04587155963302752,0
6.7,20,13,6,1,0,0.5882352941176471,0.04587155963302752,0
6.8,19,14,5,2,0,0.4901960784313726,0.09174311926605504,0
6.9,20,14,6,2,0,0.5882352941176471,0.09174311926605504,0
7.0,20,14,6,2,0,0.5882352941176471,0.09174311926605504,0
7.1,19,15,6,2,0,0.5882352941176471,0.09174311926605504,0
7.2,20,15,6,2,0,0.5882352941176471,0.09174311926605504,0
7.3,20,15,5,3,0,0.4901960784313726,0.13761467889908258,1
7.4,21,15,6,3,0,0.5882352941176471,0.13761467889908258,1
7.5,21,15,6,3,0,0.5882352941176471,0.13761467889908258,1
7.6,21,15,6,3,0,0.5882352941176471,0.13761467889908258,2
7.7,22,15,6,3,0,0.5882352941176471,0.13761467889908258,2
7.8,22,15,5,4,0,0.4901960784313726,0.18348623853211007,3
7.9,23,15,6,4,0,0.5882352941176471,0.18348623853211007,3
8.0,23,15,6,4,0,0.5882352941176471,0.18348623853211007,3
8.1,23,15,6,4,0,0.5882352941176471,0.18348623853211007,4
8.2,24,15,6,4,0,0.5882352941176471,0.18348623853211007,4
8.3,24,15,5,5,0,0.4901960784313726,0.2293577981651376,5
8.4,25,15,6,5,0,0.5882352941176471,0.2293577981651376,5
8.5,25,15,6,5,0,0.5882352941176471,0.2293577981651376,5
8.6,25,15,6,5,0,0.5882352941176471,0.2293577981651376,6
8.7,26,15,6,5,0,0.5882352941176471,0.2293577981651376,6
8.8,26,15,5,6,0,0.4901960784313726,0.27522935779816515,7
8.9,27,15,6,6,0,0.5882352941176471,0.27522935779816515,7
9.0,27,15,6,6,0,0.5882352941176471,0.27522935779816515,7
9.1,27,15,6,6,0,0.5882352941176471,0.27522935779816515,8
9.2,28,15,6,6,0,0.5882352941176471,0.27522935779816515,8
9.3,28,15,5,7,0,0.4901960784313726,0.3211009174311926,9
9.4,29,15,6,7,0,0.5882352941176471,0.3211009174311926,9
9.5,29,15,6,7,0,0.5882352941176471,0.3211009174311926,9
9.6,29,15,6,7,0,0.5882352941176471,0.3211009174311926,10
9.7,30,15,6,7,0,0.5882352941176471,0.3211009174311926,10
9.8,30,15,5,8,0,0.4901960784313726,0.36697247706422015,11
9.9,31,15,6,8,0,0.5882352941176471,0.36697247706422015,11
10.0,31,15,6,8,0,0.5882352941176471,0.36697247706422015,11
10.1,31,15,6,8,0,0.5882352941176471,0.36697247706422015,12
10.2,32,15,6,8,0,0.5882352941176471,0.36697247706422015,12
10.3,32,15,5,9,0,0.4901960784313726,0.4128440366972477,13
10.4,33,15,6,9,0,0.5882352941176471,0.4128440366972477,13
10.5,33,15,6,9,0,0.5882352941176471,0.4128440366972477,13
10.6,33,15,6,9,0,0.5882352941176471,0.4128440366972477,14
10.7,34,15,6,9,0,0.5882352941176471,0.4128440366972477,14
10.8,34,15,5,10,0,0.4901960784313726,0.4587155963302752,15
10.9,35,15,6,10,0,0.5882352941176471,0.4587155963302752,15
11.0,35,15,6,10,0,0.5882352941176471,0.4587155963302752,15
11.1,35,15,6,10,0,0.5882352941176471,0.4587155963302752,16
11.2,36,15,6,10,0,0.5882352941176471,0.4587155963302752,16
11.3,36,15,5,11,0,0.4901960784313726,0.5045871559633027,17
11.4,37,15,6,11,0,0.5882352941176471,0.5045871559633027,17
11.5,37,15,6,11,0,0.5882352941176471,0.5045871559633027,17
11.6,37,15,6,11,0,0.5882352941176471,0.5045871559633027,18
11.7,38,15,6,11,0,0.5882352941176471,0.5045871559633027,18
11.8,38,15,5,12,0,0.4901960784313726,0.5504587155963303,19
11.9,39,15,6,12,0,0.5882352941176471,0.5504587155963303,19
12.0,39,15,6,12,0,0.5882352941176471,0.5504587155963303,19
12.1,39,15,6,12,0,0.5882352941176471,0.5504587155963303,20
12.2,40,15,6,12,0,0.5882352941176471,0.5504587155963303,20
12.3,40,15,5,13,0,0.4901960784313726,0.5963302752293578,21
12.4,41,15,6,12,1,0.5882352941176471,0.5504587155963303,21
12.5,41,15,6,12,1,0.5882352941176471,0.5504587155963303,21
12.6,41,15,6,12,1,0.5882352941176471,0.5504587155963303,22
12.7,42,15,6,12,1,0.5882352941176471,0.5504587155963303,22
12.8,42,15,5,13,1,0.4901960784313726,0.5963302752293578,23
12.9,43,15,6,12,2,0.5882352941176471,0.5504587155963303,23
13.0,43,15,6,12,2,0.5882352941176471,0.5504587155963303,23
13.1,43,15,6,12,2,0.5882352941176471,0.5504587155963303,24
13.2,44,15,6,12,2,0.5882352941176471,0.5504587155963303,24
13.3,44,15,5,13,2,0.4901960784313726,0.5963302752293578,25
13.4,45,15,6,12,3,0.5882352941176471,0.5504587155963303,25
13.5,45,15,6,12,3,0.5882352941176471,0.5504587155963303,25
13.6,45,15,6,12,3,0.5882352941176471,0.5504587155963303,26
13.7,46,15,6,12,3,0.5882352941176471,0.5504587155963303,26
13.8,46,15,5,13,3,0.4901960784313726,0.5963302752293578,27
13.9,47,15,6,12,4,0.5882352941176471,0.5504587155963303,27
14.0,47,15,6,12,4,0.5882352941176471,0.5504587155963303,27
14.1,47,15,6,12,4,0.5882352941176471,0.5504587155963303,28
14.2,48,15,6,12,4,0.5882352941176471,0.5504587155963303,28
14.3,48,15,5,13,4,0.4901960784313726,0.5963302752293578,29
14.4,49,15,6,12,5,0.5882352941176471,0.5504587155963303,29
14.5,49,15,6,12,5,0.5882352941176471,0.5504587155963303,29
14.6,49,15,6,12,5,0.5882352941176471,0.5504587155963303,30
14.7,50,15,6,12,5,0.5882352941176471,0.5504587155963303,30
14.8,50,15,5,13,5,0.4901960784313726,0.5963302752293578,31
14.9,51,15,6,12,6,0.5882352941176471,0.5504587155963303,31
15.0,51,15,6,12,6,0.5882352941176471,0.5504587155963303,31
