Group,q_PA1 (ped/s),q_PA2 (ped/s),n_PA1,n_PA2,n_total,t_avg_PA1 (s),t_avg_PA2 (s),T_access_egress (s),peak_queue_PW1,peak_K_PW2 (ped/m²),peak_K_SA3 (ped/m²)
Group1,1.0,5.0,60,300,360,25.62,40.45,141.9,2,3.4314,1.3303
Group2,2.0,4.0,120,240,360,53.28,13.0,141.3,60,1.3725,1.8349
Group3,3.0,3.0,180,180,360,82.99,12.11,201.2,120,0.8824,1.5596
Group4,4.0,2.0,240,120,360,113.5,11.84,262.4,180,0.5882,1.2844
Group5,5.0,1.0,300,60,360,144.3,11.8,324.0,240,0.2941,1.0092
Group6,1.0,5.0,59,296,355,25.07,32.85,139.9,2,3.4314,1.3761
Group7,2.0,4.0,118,236,354,46.46,12.83,140.3,43,1.3725,1.8349
Group8,3.0,3.0,177,177,354,75.71,12.09,200.2,102,0.8824,1.5596
Group9,4.0,2.0,236,118,354,105.71,11.85,261.4,161,0.5882,1.2844
Group10,5.0,1.0,296,59,355,136.38,11.8,323.2,221,0.2941,1.0092
